expression_sample,clinical_sample,position,match_type,hash_signature
F277,GSM2528370,276,positional,4c096773ef1d7d2021fda81fbfe2a162
F278,GSM2528371,277,positional,d2108dc95c24d554b709327fafdd19a1
F279,GSM2528372,278,positional,3e50013a5519368e70166e17956cb773
F280,GSM2528373,279,positional,8cebfc17fba2b259d4362ed30868acb5
F281,GSM2528374,280,positional,ce7e041212e1033db864a0e167bf5fae
F282,GSM2528375,281,positional,2081d92e33398bea99bdd1c85d929c0f
F283,GSM2528376,282,positional,aab23eff604d3152643f04f6458c8c97
F284,GSM2528377,283,positional,9b09579e5da70148473e052efce54a8f
F285,GSM2528378,284,positional,403d2fbde93dbf0392abae52848519d6
F286,GSM2528379,285,positional,078883d0ba3172eaa9ac7734bf6e81d2
F287,GSM2528380,286,positional,ad0ba151b0cca2be896d8cadc029a515
F288,GSM2528381,287,positional,ddca96b6335ca322b80195ce9fa34c29
F289,GSM2528382,288,positional,6255309b847b53878fbe1a0ede335703
F290,GSM2528383,289,positional,a1c0c22b6ae91f973be3e7d327f19627
F291,GSM2528384,290,positional,9b2de08d05c23b96fa10a8782dddd088
F292,GSM2528385,291,positional,26fac23a26c75dea949d799ac90f89f0
F293,GSM2528386,292,positional,f33f7f462ab7fd7ff7bbddf5926c4a95
F294,GSM2528387,293,positional,55fc8fef3cc69362116fb044e6a75fc0
F295,GSM2528388,294,positional,432feeed187add6d3743cea97e63364b
F296,GSM2528389,295,positional,4e03f49bd79950e8740973eb903a30a4
F297,GSM2528390,296,positional,a4c8421e5cbc7c459ddfe827e7a97001
F298,GSM2528391,297,positional,42beff8a49ff55ced50495201fccce38
F299,GSM2528393,298,positional,a9559c51a358749aa039d86fd69fa002
F300,GSM2528394,299,positional,0f05b7a3f6a54c7c01db81a3182c5441
F301,GSM2528395,300,positional,c51cc36e7105e98765a762752ab05c3e
F302,GSM2528396,301,positional,a60de5abc56db4e52c0cf871c33e6354
F303,GSM2528397,302,positional,a45cda7496bda5bafab9510b92fcb4a3
F304,GSM2528398,303,positional,993edc7dad4e92c9a073d89d659b168b
F305,GSM2528399,304,positional,5beab341eaec79eb996418a892f5805d
F306,GSM2528400,305,positional,d72d4585df7575271f248630a76ba98d
F307,GSM2528401,306,positional,e1c68bbc9ef57f12db0915c07822388d
F308,GSM2528402,307,positional,8c9f0ee9beafa3e4f0256e27e22169e1
F309,GSM2528403,308,positional,4e41cd349d9d15866cd6743688749ab6
F310,GSM2528405,309,positional,73a43852308d251cfd11499b1ee34b20
F311,GSM2528406,310,positional,d11c39864ea8c964e5c5cefaa47c3d33
F312,GSM2528407,311,positional,e61ca2e5524280795aedaa165b06d16a
F313,GSM2528408,312,positional,321b397b3388a5aa01180a3c5e14ff2c
F314,GSM2528409,313,positional,dd7644eff91095dd5830ed0880e9df22
F315,GSM2528411,314,positional,8606ac15d7dd9f77c1283e172344c70e
F316,GSM2528412,315,positional,278973debfb374020e1da05f965c3296
F317,GSM2528413,316,positional,4a4909db3c592003b7ff182d44b733fb
F318,GSM2528414,317,positional,b456518c700f6bdcd2bcb13c82699f06
F319,GSM2528415,318,positional,831766854cba874b9de7fb432b9f553f
F320,GSM2528416,319,positional,6e408eeb2f1dd1b6588bf3808f0d5551
F321,GSM2528417,320,positional,fbc50609139d926df33d82e171db370f
F322,GSM2528418,321,positional,37f4dc768bc783746df717ea87d40029
F323,GSM2528420,322,positional,d11169124a7af70b5536133b29818319
F324,GSM2528421,323,positional,57d04778586ff8a83a67f0c1b0d185ff
F325,GSM2528422,324,positional,07b567975432ec05c7ac0688e65a7a63
F326,GSM2528423,325,positional,7e0a2ffb144907d3e85fe58051ceb9de
F327,GSM2528424,326,positional,eeb2a5b1d7ba0f957b77596ba36ace7d
F328,GSM2528425,327,positional,d507e6724513077384d5d22580367bf8
F329,GSM2528426,328,positional,ccdb7b0eee6ae669e1e7fbb9cca8d7ce
F330,GSM2528427,329,positional,9177d9ab65d265cc1315930323af734e
F331,GSM2528428,330,positional,684ff291f736e4dd0e59829bcdb60208
F332,GSM2528429,331,positional,3f0d50a5afd6ef0713725db008d21898
F333,GSM2528430,332,positional,f9a0edb8430e30289ffc3c5973edcb50
F334,GSM2528431,333,positional,223f73ffba2ec4a7ddb9ea2cb796142d
F335,GSM2528432,334,positional,6e27f8ee052887b4b09470d7e0610c07
F336,GSM2528434,335,positional,507cf05919f8c78a5fbc10f1d2e75fa5
F337,GSM2528435,336,positional,77fb9adc0e1f8828c769aba45f31eb10
F338,GSM2528436,337,positional,b8c1936a8d95c2b4e2535411e1f2102d
F339,GSM2528438,338,positional,83e03a3b653d3f539d0e1973bed02537
F340,GSM2528440,339,positional,2a84f4df00a20ab7b0a6609e02948185
F341,GSM2528442,340,positional,93c895cfd83adf5cd10fb18d8826a139
F342,GSM2528443,341,positional,e4b4cc8cff405a3a09f7718f71f0d5c0
F343,GSM2528444,342,positional,f085fff3f989524f6c04c2106b94f718
F344,GSM2528445,343,positional,e83329e0a89d104457a989dc15437ca6
F345,GSM2528446,344,positional,5c25dea6b87b8659900c0f4ae054aa91
F346,GSM2528447,345,positional,ea8d11d4ca34435ae0fbb622a5f34e73
F347,GSM2528448,346,positional,a8c20859be5b35b5e67640a44cf76976
F348,GSM2528450,347,positional,5dac7ac44d0fc5578c856ae8d1fc3e62
F349,GSM2528451,348,positional,33251ff2ff05edf704c00b07435426b0
F350,GSM2528452,349,positional,08fd9d570f81f03535d99237b99e7aa1
F351,GSM2528453,350,positional,e6285d0aeb5871e95fc4df19f04db40e
F352,GSM2528454,351,positional,949f4a6df6d4b23e232ef0f38ad9514d
F353,GSM2528455,352,positional,7f63d619decf61ca0611c786deedbf97
F354,GSM2528456,353,positional,cefb0c96580be211665ee1145c770115
